X [s];IL: EMG 1 [V];LON: EMG 2 [V]
0;0;0
0.000465517;0;0
0.000931034;0;0
0.001396552;0;0
0.001862069;0;0
0.002327586;0;0
0.002793103;0;0
0.003258621;0;0
0.003724138;0;0
0.004189655;0;0
0.004655172;0;0
0.00512069;0;0
0.005586207;0;0
0.006051724;0;0
0.006517241;0;0
0.006982759;0;0
0.007448276;0;0
0.007913793;0;0
0.00837931;0;0
0.008844828;0;0
0.009310345;0;0
0.009775862;0;0
0.010241379;0;0
0.010706897;0;0
0.011172414;0;0
0.011637931;0;0
0.012103448;0;0
0.012568966;0;0
0.013034483;0;0
0.0135;0;0
0.013965517;0;0
0.014431034;0;0
0.014896552;0;0
0.015362069;0;0
0.015827586;0;0
0.016293103;0;0
0.016758621;0;0
0.017224138;0;0
0.017689655;0;0
0.018155172;0;0
0.01862069;0;0
0.019086207;0;0
0.019551724;0;0
0.020017241;0;0
0.020482759;0;0
0.020948276;0;0
0.021413793;0;0
0.02187931;0;0
0.022344828;0;0
0.022810345;0;0
0.023275862;0;0
0.023741379;0;0
0.024206897;0;0
0.024672414;0;0
0.025137931;0;0
0.025603448;0;0
0.026068966;0;0
0.026534483;0;0
0.027;0;0
0.027465517;0;0
0.027931034;0;0
0.028396552;0;0
0.028862069;0;0
0.029327586;0;0
0.029793103;0;0
0.030258621;0;0
0.030724138;0;0
0.031189655;0;0
0.031655172;0;0
0.03212069;0;0
0.032586207;0;0
0.033051724;0;0
0.033517241;0;0
0.033982759;0;0
0.034448276;0;0
0.034913793;0;0
0.03537931;0;0
0.035844828;0;0
0.036310345;0;0
0.036775862;0;0
0.037241379;0;0
0.037706897;0;0
0.038172414;0;0
0.038637931;0;0
0.039103448;0;0
0.039568966;0;0
0.040034483;0;0
0.0405;0;0
0.040965517;0;0
0.041431034;0;0
0.041896552;0;0
0.042362069;0;0
0.042827586;0;0
0.043293103;0;0
0.043758621;0;0
0.044224138;0;0
0.044689655;0;0
0.045155172;0;0
0.04562069;0;0
0.046086207;0;0
0.046551724;0;0
0.047017241;0;0
0.047482759;0;0
0.047948276;0;0
0.048413793;0;0
0.04887931;0;0
0.049344828;0;0
0.049810345;0;0
0.050275862;0;0
0.050741379;0;0
0.051206897;0;0
0.051672414;0;0
0.052137931;0;0
0.052603448;0;0
0.053068966;0;0
0.053534483;0;0
0.054;0;0
0.054465517;0;0
0.054931034;0;0
0.055396552;0;0
0.055862069;0;0
0.056327586;0;0
0.056793103;0;0
0.057258621;0;0
0.057724138;0;0
0.058189655;0;0
0.058655172;0;0
0.05912069;0;0
0.059586207;0;0
0.060051724;0;0
0.060517241;0;0
0.060982759;0;0
0.061448276;0;0
0.061913793;0;0
0.06237931;0;0
0.062844828;0;0
0.063310345;0;0
0.063775862;0;0
0.064241379;0;0
0.064706897;0;0
0.065172414;0;0
0.065637931;0;0
0.066103448;0;0
0.066568966;0;0
0.067034483;0;0
0.0675;0;0
0.067965517;0;0
0.068431034;0;0
0.068896552;0;0
0.069362069;0;0
0.069827586;0;0
0.070293103;0;0
0.070758621;0;0
0.071224138;0;0
0.071689655;0;0
0.072155172;0;0
0.07262069;0;0
0.073086207;0;0
0.073551724;0;0
0.074017241;0;0
0.074482759;0;0
0.074948276;0;0
0.075413793;0;0
0.07587931;0;0
0.076344828;0;0
0.076810345;0;0
0.077275862;0;0
0.077741379;0;0
0.078206897;0;0
0.078672414;0;0
0.079137931;0;0
0.079603448;0;0
0.080068966;0;0
0.080534483;0;0
0.081;0;0
0.081465517;0;0
0.081931034;0;0
0.082396552;0;0
0.082862069;0;0
0.083327586;0;0
0.083793103;0;0
0.084258621;0;0
0.084724138;0;0
0.085189655;0;0
0.085655172;0;0
0.08612069;0;0
0.086586207;0;0
0.087051724;0;0
0.087517241;0;0
0.087982759;0;0
0.088448276;0;0
0.088913793;0;0
0.08937931;0;0
0.089844828;0;0
0.090310345;0;0
0.090775862;0;0
0.091241379;0;0
0.091706897;0;0
0.092172414;0;0
0.092637931;0;0
0.093103448;0;0
0.093568966;0;0
0.094034483;0;0
0.0945;-3.18914E-06;6.21042E-05
0.094965517;4.19623E-06;5.82437E-05
0.095431034;5.20333E-06;4.24659E-05
0.095896552;5.20333E-06;2.3331E-05
0.096362069;3.18914E-06;4.19623E-06
0.096827586;-2.51774E-06;-1.32601E-05
0.097293103;-1.15816E-05;-2.83665E-05
0.097758621;-1.69528E-05;-4.06195E-05
0.098224138;-1.64492E-05;-4.61585E-05
0.098689655;-1.42672E-05;-4.28016E-05
0.099155172;-1.32601E-05;-3.57519E-05
0.09962069;-1.09102E-05;-3.25628E-05
0.100086207;-1.09102E-05;-3.50805E-05
0.100551724;-1.15816E-05;-3.70947E-05
0.101017241;-1.2253E-05;-3.57519E-05
0.101482759;-1.12459E-05;-3.3402E-05
0.101948276;-8.56031E-06;-3.10521E-05
0.102413793;-6.88182E-06;-2.90379E-05
0.10287931;-6.21042E-06;-2.93736E-05
0.103344828;-4.69978E-06;-3.05486E-05
0.103810345;-3.02129E-06;-3.37377E-05
0.104275862;-2.18204E-06;-3.47448E-05
0.104741379;-5.03548E-07;-3.07164E-05
0.105206897;1.84634E-06;-2.50095E-05
0.105672414;4.53193E-06;-1.98062E-05
0.106137931;5.87472E-06;-1.52743E-05
0.106603448;5.87472E-06;-1.12459E-05
0.107068966;5.87472E-06;-8.22461E-06
0.107534483;6.21042E-06;-5.70687E-06
0.108;8.89601E-06;-4.53193E-06
0.108465517;1.19173E-05;-6.21042E-06
0.108931034;1.25887E-05;-8.22461E-06
0.109396552;1.10781E-05;-6.88182E-06
0.109862069;1.25887E-05;-4.53193E-06
0.110327586;1.39315E-05;-5.20333E-06
0.110793103;1.29244E-05;-7.55322E-06
0.111258621;1.25887E-05;-7.88891E-06
0.111724138;1.37636E-05;-2.85344E-06
0.112189655;1.49386E-05;1.84634E-06
0.112655172;1.51064E-05;6.21042E-06
0.11312069;1.62814E-05;9.9031E-06
0.113586207;1.93027E-05;1.09102E-05
0.114051724;2.19883E-05;1.12459E-05
0.114517241;2.23239E-05;1.42672E-05
0.114982759;1.96384E-05;1.76242E-05
0.115448276;1.82956E-05;1.79599E-05
0.115913793;1.82956E-05;1.52743E-05
0.11637931;1.72885E-05;1.49386E-05
0.116844828;1.561E-05;1.8967E-05
0.117310345;1.39315E-05;2.26596E-05
0.117775862;1.35958E-05;2.50095E-05
0.118241379;1.4435E-05;2.46738E-05
0.118706897;1.32601E-05;2.19883E-05
0.119172414;1.32601E-05;1.93027E-05
0.119637931;1.52743E-05;2.06455E-05
0.120103448;1.82956E-05;2.31632E-05
0.120568966;2.19883E-05;2.56809E-05
0.121034483;2.53452E-05;2.76951E-05
0.1215;2.6688E-05;2.58488E-05
0.121965517;2.51774E-05;1.79599E-05
0.122431034;2.26596E-05;4.36408E-06
0.122896552;2.13169E-05;-6.88182E-06
0.123362069;2.29953E-05;-1.05745E-05
0.123827586;2.6688E-05;-9.73526E-06
0.124293103;2.80308E-05;-8.56031E-06
0.124758621;2.53452E-05;-8.56031E-06
0.125224138;2.16526E-05;-1.91348E-05
0.125689655;2.09812E-05;-3.91089E-05
0.126155172;1.96384E-05;-5.53903E-05
0.12662069;1.66171E-05;-6.37827E-05
0.127086207;1.52743E-05;-6.73075E-05
0.127551724;1.32601E-05;-6.66362E-05
0.128017241;1.32601E-05;-6.32792E-05
0.128482759;1.52743E-05;-5.89151E-05
0.128948276;1.59457E-05;-5.25368E-05
0.129413793;1.46029E-05;-4.46479E-05
0.12987931;1.52743E-05;-3.84375E-05
0.130344828;1.76242E-05;-3.64233E-05
0.130810345;1.82956E-05;-3.64233E-05
0.131275862;1.64492E-05;-3.23949E-05
0.131741379;1.59457E-05;-2.50095E-05
0.132206897;1.66171E-05;-1.79599E-05
0.132672414;1.69528E-05;-1.49386E-05
0.133137931;1.561E-05;-1.52743E-05
0.133603448;1.25887E-05;-1.42672E-05
0.134068966;7.21752E-06;-1.29244E-05
0.134534483;1.17494E-06;-1.2253E-05
0.135;-2.01419E-06;-9.56741E-06
0.135465517;-3.52483E-06;-3.18914E-06
0.135931034;-8.22461E-06;4.53193E-06
0.136396552;-1.29244E-05;1.59457E-05
0.136862069;-1.25887E-05;3.17235E-05
0.137327586;-8.89601E-06;4.95155E-05
0.137793103;-4.86763E-06;6.52934E-05
0.138258621;-5.03548E-07;7.50286E-05
0.138724138;3.18914E-06;8.10712E-05
0.139189655;7.21752E-06;8.61067E-05
0.139655172;9.56741E-06;8.67781E-05
0.14012069;1.05745E-05;8.2414E-05
0.140586207;1.12459E-05;7.40215E-05
0.141051724;1.05745E-05;6.29435E-05
0.141517241;1.02388E-05;5.08583E-05
0.141982759;7.88891E-06;4.28016E-05
0.142448276;5.20333E-06;3.84375E-05
0.142913793;5.87472E-06;3.57519E-05
0.14337931;8.22461E-06;3.30663E-05
0.143844828;8.56031E-06;3.0045E-05
0.144310345;6.54612E-06;2.36667E-05
0.144775862;4.53193E-06;1.32601E-05
0.145241379;4.86763E-06;2.85344E-06
0.145706897;2.51774E-06;-6.04257E-06
0.146172414;-1.84634E-06;-1.09102E-05
0.146637931;-4.19623E-06;-9.23171E-06
0.147103448;-4.19623E-06;-4.53193E-06
0.147568966;-3.52483E-06;-3.69268E-06
0.148034483;-3.52483E-06;-7.21752E-06
0.1485;-2.01419E-06;-7.88891E-06
0.148965517;-1.67849E-07;-5.87472E-06
0.149431034;1.51064E-06;-8.22461E-06
0.149896552;2.34989E-06;-1.15816E-05
0.150362069;1.84634E-06;-1.09102E-05
0.150827586;8.39246E-07;-5.87472E-06
0.151293103;-1.51064E-06;1.51064E-06
0.151758621;-1.67849E-06;8.56031E-06
0.152224138;-1.67849E-07;1.19173E-05
0.152689655;2.51774E-06;1.561E-05
0.153155172;4.86763E-06;2.04776E-05
0.15362069;7.72107E-06;2.83665E-05
0.154086207;8.89601E-06;3.54162E-05
0.154551724;8.56031E-06;3.97803E-05
0.155017241;8.39246E-06;3.92767E-05
0.155482759;8.89601E-06;3.25628E-05
0.155948276;6.21042E-06;1.86313E-05
0.156413793;3.02129E-06;4.19623E-06
0.15687931;1.84634E-06;-3.18914E-06
0.157344828;3.02129E-06;-4.69978E-06
0.157810345;2.51774E-06;-7.88891E-06
0.158275862;1.17494E-06;-1.29244E-05
0.158741379;2.51774E-06;-1.62814E-05
0.159206897;4.19623E-06;-1.7792E-05
0.159672414;7.88891E-06;-1.8967E-05
0.160137931;1.39315E-05;-1.62814E-05
0.160603448;1.72885E-05;-9.9031E-06
0.161068966;1.67849E-05;-3.86053E-06
0.161534483;1.66171E-05;1.17494E-06
0.162;1.82956E-05;5.03548E-06
0.162465517;2.03098E-05;6.21042E-06
0.162931034;2.23239E-05;4.36408E-06
0.163396552;2.29953E-05;2.01419E-06
0.163862069;2.36667E-05;2.51774E-06
0.164327586;2.29953E-05;3.52483E-06
0.164793103;1.99741E-05;3.52483E-06
0.165258621;1.86313E-05;3.02129E-06
0.165724138;1.99741E-05;1.84634E-06
0.166189655;1.96384E-05;-5.03548E-07
0.166655172;1.72885E-05;-1.84634E-06
0.16712069;1.39315E-05;-8.39246E-07
0.167586207;9.9031E-06;2.85344E-06
0.168051724;7.88891E-06;7.04967E-06
0.168517241;8.56031E-06;1.02388E-05
0.168982759;1.05745E-05;1.09102E-05
0.169448276;1.25887E-05;1.02388E-05
0.169913793;1.39315E-05;1.05745E-05
0.17037931;1.64492E-05;1.17494E-05
0.170844828;1.72885E-05;1.05745E-05
0.171310345;1.79599E-05;9.56741E-06
0.171775862;1.86313E-05;1.25887E-05
0.172241379;1.72885E-05;1.71206E-05
0.172706897;1.52743E-05;1.93027E-05
0.173172414;1.29244E-05;2.26596E-05
0.173637931;1.19173E-05;2.6688E-05
0.174103448;1.10781E-05;2.60166E-05
0.174568966;9.73526E-06;1.79599E-05
0.175034483;1.02388E-05;8.22461E-06
0.1755;1.15816E-05;8.39246E-07
0.175965517;1.09102E-05;-4.36408E-06
0.176431034;1.19173E-05;-7.55322E-06
0.176896552;1.561E-05;-3.02129E-06
0.177362069;1.8967E-05;9.23171E-06
0.177827586;1.86313E-05;1.86313E-05
0.178293103;1.72885E-05;1.98062E-05
0.178758621;1.561E-05;1.8967E-05
0.179224138;1.39315E-05;2.06455E-05
0.179689655;1.46029E-05;2.53452E-05
0.180155172;1.72885E-05;3.0045E-05
0.18062069;1.76242E-05;2.73594E-05
0.181086207;1.42672E-05;1.32601E-05
0.181551724;1.37636E-05;-4.19623E-06
0.182017241;1.42672E-05;-1.76242E-05
