X [s];IL: EMG 1 [V];LON: EMG 2 [V]
0;0;0
0.000465517;0;0
0.000931034;0;0
0.001396552;0;0
0.001862069;0;0
0.002327586;0;0
0.002793103;0;0
0.003258621;0;0
0.003724138;0;0
0.004189655;0;0
0.004655172;0;0
0.00512069;0;0
0.005586207;0;0
0.006051724;0;0
0.006517241;0;0
0.006982759;0;0
0.007448276;0;0
0.007913793;0;0
0.00837931;0;0
0.008844828;0;0
0.009310345;0;0
0.009775862;0;0
0.010241379;0;0
0.010706897;0;0
0.011172414;0;0
0.011637931;0;0
0.012103448;0;0
0.012568966;0;0
0.013034483;0;0
0.0135;0;0
0.013965517;0;0
0.014431034;0;0
0.014896552;0;0
0.015362069;0;0
0.015827586;0;0
0.016293103;0;0
0.016758621;0;0
0.017224138;0;0
0.017689655;0;0
0.018155172;0;0
0.01862069;0;0
0.019086207;0;0
0.019551724;0;0
0.020017241;0;0
0.020482759;0;0
0.020948276;0;0
0.021413793;0;0
0.02187931;0;0
0.022344828;0;0
0.022810345;0;0
0.023275862;0;0
0.023741379;0;0
0.024206897;0;0
0.024672414;0;0
0.025137931;0;0
0.025603448;0;0
0.026068966;0;0
0.026534483;0;0
0.027;0;0
0.027465517;0;0
0.027931034;0;0
0.028396552;0;0
0.028862069;0;0
0.029327586;0;0
0.029793103;0;0
0.030258621;0;0
0.030724138;0;0
0.031189655;0;0
0.031655172;0;0
0.03212069;0;0
0.032586207;0;0
0.033051724;0;0
0.033517241;0;0
0.033982759;0;0
0.034448276;0;0
0.034913793;0;0
0.03537931;0;0
0.035844828;0;0
0.036310345;0;0
0.036775862;0;0
0.037241379;0;0
0.037706897;0;0
0.038172414;0;0
0.038637931;0;0
0.039103448;0;0
0.039568966;0;0
0.040034483;0;0
0.0405;0;0
0.040965517;0;0
0.041431034;0;0
0.041896552;0;0
0.042362069;0;0
0.042827586;0;0
0.043293103;0;0
0.043758621;0;0
0.044224138;0;0
0.044689655;0;0
0.045155172;0;0
0.04562069;0;0
0.046086207;0;0
0.046551724;0;0
0.047017241;0;0
0.047482759;0;0
0.047948276;0;0
0.048413793;0;0
0.04887931;0;0
0.049344828;0;0
0.049810345;0;0
0.050275862;0;0
0.050741379;0;0
0.051206897;0;0
0.051672414;0;0
0.052137931;0;0
0.052603448;0;0
0.053068966;0;0
0.053534483;0;0
0.054;0;0
0.054465517;0;0
0.054931034;0;0
0.055396552;0;0
0.055862069;0;0
0.056327586;0;0
0.056793103;0;0
0.057258621;0;0
0.057724138;0;0
0.058189655;0;0
0.058655172;0;0
0.05912069;0;0
0.059586207;0;0
0.060051724;0;0
0.060517241;0;0
0.060982759;0;0
0.061448276;0;0
0.061913793;0;0
0.06237931;0;0
0.062844828;0;0
0.063310345;0;0
0.063775862;0;0
0.064241379;0;0
0.064706897;0;0
0.065172414;0;0
0.065637931;0;0
0.066103448;0;0
0.066568966;0;0
0.067034483;0;0
0.0675;0;0
0.067965517;0;0
0.068431034;0;0
0.068896552;0;0
0.069362069;0;0
0.069827586;0;0
0.070293103;0;0
0.070758621;0;0
0.071224138;0;0
0.071689655;0;0
0.072155172;0;0
0.07262069;0;0
0.073086207;0;0
0.073551724;0;0
0.074017241;0;0
0.074482759;0;0
0.074948276;0;0
0.075413793;0;0
0.07587931;0;0
0.076344828;0;0
0.076810345;0;0
0.077275862;0;0
0.077741379;0;0
0.078206897;0;0
0.078672414;0;0
0.079137931;0;0
0.079603448;0;0
0.080068966;0;0
0.080534483;0;0
0.081;0;0
0.081465517;0;0
0.081931034;0;0
0.082396552;0;0
0.082862069;0;0
0.083327586;0;0
0.083793103;0;0
0.084258621;0;0
0.084724138;0;0
0.085189655;0;0
0.085655172;0;0
0.08612069;0;0
0.086586207;0;0
0.087051724;0;0
0.087517241;0;0
0.087982759;0;0
0.088448276;0;0
0.088913793;0;0
0.08937931;0;0
0.089844828;0;0
0.090310345;0;0
0.090775862;0;0
0.091241379;0;0
0.091706897;0;0
0.092172414;0;0
0.092637931;0;0
0.093103448;0;0
0.093568966;0;0
0.094034483;0;0
0.0945;0;-3.69268E-06
0.094965517;0;3.69268E-06
0.095431034;0;5.20333E-06
0.095896552;0;5.87472E-06
0.096362069;0;5.20333E-06
0.096827586;0;4.53193E-06
0.097293103;0;4.19623E-06
0.097758621;0;4.53193E-06
0.098224138;0;4.86763E-06
0.098689655;0;6.21042E-06
0.099155172;0;8.39246E-06
0.09962069;0;9.06386E-06
0.100086207;0;7.04967E-06
0.100551724;0;4.53193E-06
0.101017241;0;4.19623E-06
0.101482759;0;3.52483E-06
0.101948276;0;1.67849E-06
0.102413793;0;8.39246E-07
0.10287931;0;5.03548E-07
0.103344828;0;1.17494E-06
0.103810345;0;3.18914E-06
0.104275862;0;4.53193E-06
0.104741379;0;6.21042E-06
0.105206897;0;8.56031E-06
0.105672414;0;8.72816E-06
0.106137931;0;7.21752E-06
0.106603448;0;6.88182E-06
0.107068966;0;7.21752E-06
0.107534483;0;6.88182E-06
0.108;4.86763E-06;6.54612E-06
0.108465517;1.09102E-05;5.87472E-06
0.108931034;1.09102E-05;5.20333E-06
0.109396552;1.02388E-05;5.20333E-06
0.109862069;9.23171E-06;5.87472E-06
0.110327586;9.56741E-06;6.88182E-06
0.110793103;9.56741E-06;7.21752E-06
0.111258621;7.88891E-06;6.21042E-06
0.111724138;7.21752E-06;5.20333E-06
0.112189655;8.56031E-06;4.53193E-06
0.112655172;1.02388E-05;5.20333E-06
0.11312069;1.04067E-05;6.54612E-06
0.113586207;9.56741E-06;7.88891E-06
0.114051724;9.23171E-06;9.23171E-06
0.114517241;9.23171E-06;1.02388E-05
0.114982759;8.56031E-06;8.56031E-06
0.115448276;8.89601E-06;5.20333E-06
0.115913793;1.05745E-05;4.19623E-06
0.11637931;1.12459E-05;4.53193E-06
0.116844828;9.56741E-06;4.53193E-06
0.117310345;7.88891E-06;3.86053E-06
0.117775862;6.54612E-06;1.84634E-06
0.118241379;6.21042E-06;-8.39246E-07
0.118706897;4.36408E-06;-5.03548E-07
0.119172414;2.85344E-06;3.18914E-06
0.119637931;3.18914E-06;3.69268E-06
0.120103448;3.18914E-06;1.84634E-06
0.120568966;2.85344E-06;8.39246E-07
0.121034483;4.19623E-06;1.17494E-06
0.1215;6.54612E-06;8.39246E-07
0.121965517;7.88891E-06;1.17494E-06
0.122431034;7.21752E-06;3.52483E-06
0.122896552;6.88182E-06;6.54612E-06
0.123362069;7.21752E-06;9.23171E-06
0.123827586;7.21752E-06;9.9031E-06
0.124293103;7.88891E-06;7.55322E-06
0.124758621;9.9031E-06;5.03548E-06
0.125224138;1.05745E-05;4.53193E-06
0.125689655;8.56031E-06;4.53193E-06
0.126155172;7.55322E-06;2.51774E-06
0.12662069;6.21042E-06;2.18204E-06
0.127086207;5.20333E-06;3.52483E-06
0.127551724;6.54612E-06;3.35698E-06
0.128017241;7.88891E-06;1.17494E-06
0.128482759;8.89601E-06;-1.67849E-07
0.128948276;8.56031E-06;5.03548E-07
0.129413793;7.55322E-06;5.03548E-07
0.12987931;8.39246E-06;5.03548E-07
0.130344828;1.02388E-05;5.03548E-07
0.130810345;1.17494E-05;1.17494E-06
0.131275862;1.12459E-05;3.86053E-06
0.131741379;1.04067E-05;5.53903E-06
0.132206897;1.05745E-05;5.87472E-06
0.132672414;1.12459E-05;6.54612E-06
0.133137931;1.15816E-05;7.88891E-06
0.133603448;9.9031E-06;7.21752E-06
0.134068966;9.06386E-06;4.86763E-06
0.134534483;8.22461E-06;5.03548E-06
0.135;8.22461E-06;7.38537E-06
0.135465517;7.88891E-06;7.88891E-06
0.135931034;6.21042E-06;7.21752E-06
0.136396552;3.86053E-06;5.87472E-06
0.136862069;3.86053E-06;4.53193E-06
0.137327586;5.53903E-06;3.18914E-06
0.137793103;6.54612E-06;3.18914E-06
0.138258621;8.39246E-06;6.04257E-06
0.138724138;9.23171E-06;8.56031E-06
0.139189655;9.23171E-06;7.88891E-06
0.139655172;8.56031E-06;4.53193E-06
0.14012069;7.88891E-06;3.52483E-06
0.140586207;7.04967E-06;4.53193E-06
0.141051724;5.53903E-06;6.88182E-06
0.141517241;5.87472E-06;8.56031E-06
0.141982759;8.39246E-06;8.22461E-06
0.142448276;8.89601E-06;5.70687E-06
0.142913793;6.88182E-06;4.86763E-06
0.14337931;5.87472E-06;7.88891E-06
0.143844828;7.55322E-06;1.02388E-05
0.144310345;1.02388E-05;9.9031E-06
0.144775862;1.19173E-05;8.39246E-06
0.145241379;1.19173E-05;6.21042E-06
0.145706897;1.05745E-05;3.86053E-06
0.146172414;1.02388E-05;3.86053E-06
0.146637931;9.23171E-06;5.87472E-06
0.147103448;9.56741E-06;5.87472E-06
0.147568966;1.19173E-05;5.20333E-06
0.148034483;1.39315E-05;5.20333E-06
0.1485;1.52743E-05;5.03548E-06
0.148965517;1.46029E-05;5.20333E-06
0.149431034;1.37636E-05;5.87472E-06
0.149896552;1.25887E-05;7.55322E-06
0.150362069;1.2253E-05;7.04967E-06
0.150827586;1.39315E-05;5.20333E-06
0.151293103;1.52743E-05;4.36408E-06
0.151758621;1.32601E-05;3.52483E-06
0.152224138;9.73526E-06;2.51774E-06
0.152689655;7.88891E-06;3.18914E-06
0.153155172;8.56031E-06;3.52483E-06
0.15362069;9.56741E-06;2.85344E-06
0.154086207;9.56741E-06;3.18914E-06
0.154551724;7.88891E-06;2.85344E-06
0.155017241;5.53903E-06;8.39246E-07
0.155482759;5.03548E-06;-8.39246E-07
0.155948276;6.21042E-06;-8.39246E-07
0.156413793;6.21042E-06;-1.51064E-06
0.15687931;6.21042E-06;-1.84634E-06
0.157344828;5.87472E-06;-1.17494E-06
0.157810345;5.20333E-06;3.35698E-07
0.158275862;4.53193E-06;1.17494E-06
0.158741379;3.86053E-06;1.84634E-06
0.159206897;3.86053E-06;2.34989E-06
0.159672414;4.53193E-06;1.17494E-06
0.160137931;5.87472E-06;1.17494E-06
0.160603448;5.70687E-06;3.02129E-06
0.161068966;5.87472E-06;3.18914E-06
0.161534483;5.87472E-06;3.18914E-06
0.162;3.86053E-06;3.18914E-06
0.162465517;4.53193E-06;3.52483E-06
0.162931034;6.54612E-06;3.35698E-06
0.163396552;7.04967E-06;2.51774E-06
0.163862069;6.04257E-06;2.51774E-06
0.164327586;6.54612E-06;2.01419E-06
0.164793103;6.88182E-06;1.67849E-06
0.165258621;7.04967E-06;2.51774E-06
0.165724138;6.88182E-06;3.35698E-06
0.166189655;6.54612E-06;4.53193E-06
0.166655172;5.87472E-06;5.20333E-06
0.16712069;6.21042E-06;6.54612E-06
0.167586207;7.88891E-06;9.9031E-06
0.168051724;7.55322E-06;1.19173E-05
0.168517241;6.54612E-06;1.12459E-05
0.168982759;7.21752E-06;9.9031E-06
0.169448276;8.56031E-06;7.88891E-06
0.169913793;1.0071E-05;7.21752E-06
0.17037931;1.15816E-05;8.89601E-06
0.170844828;1.25887E-05;9.23171E-06
0.171310345;1.2253E-05;6.37827E-06
0.171775862;1.24208E-05;3.52483E-06
0.172241379;1.25887E-05;2.51774E-06
0.172706897;1.25887E-05;3.52483E-06
0.173172414;1.25887E-05;6.88182E-06
0.173637931;1.29244E-05;7.72107E-06
0.174103448;1.25887E-05;6.54612E-06
0.174568966;1.10781E-05;6.71397E-06
0.175034483;9.9031E-06;6.54612E-06
0.1755;9.23171E-06;4.86763E-06
0.175965517;8.56031E-06;3.18914E-06
0.176431034;9.06386E-06;3.18914E-06
0.176896552;9.56741E-06;3.52483E-06
0.177362069;9.23171E-06;3.86053E-06
0.177827586;8.56031E-06;3.18914E-06
0.178293103;8.56031E-06;2.18204E-06
0.178758621;9.23171E-06;8.39246E-07
0.179224138;1.05745E-05;5.03548E-07
0.179689655;1.09102E-05;-1.67849E-07
0.180155172;1.05745E-05;5.03548E-07
0.18062069;1.14137E-05;3.69268E-06
0.181086207;9.56741E-06;5.70687E-06
0.181551724;6.88182E-06;5.20333E-06
0.182017241;5.87472E-06;3.18914E-06
0.182482759;6.88182E-06;2.18204E-06
0.182948276;8.56031E-06;1.0071E-06
0.183413793;8.89601E-06;8.39246E-07
0.18387931;9.23171E-06;3.18914E-06
0.184344828;9.9031E-06;5.53903E-06
0.184810345;9.23171E-06;6.54612E-06
0.185275862;8.89601E-06;6.37827E-06
0.185741379;1.02388E-05;5.20333E-06
0.186206897;1.17494E-05;4.53193E-06
0.186672414;1.12459E-05;4.86763E-06
0.187137931;1.09102E-05;5.20333E-06
0.187603448;1.19173E-05;4.86763E-06
0.188068966;1.25887E-05;4.19623E-06
