PXg_m,PXg_sd,PYg_m,PYg_sd,PZg_m,PZg_sd,HXg_m,HXg_sd,HYg_m,HYg_sd,HZg_m,HZg_sd,KXg_m,KXg_sd,KYg_m,KYg_sd,KZg_m,KZg_sd,AXg_m,AXg_sd,AYg_m,AYg_sd,AZg_m,AZg_sd
9.1367,4.81269,2.56125,1.66844,3.4023,1.69577,16.038,6.19037,5.50919,2.75227,-7.09281,7.30334,12.7449,4.72022,-0.787582,2.8699,-14.1019,8.6814,6.3803,2.63653,-3.21889,2.7321,-3.96294,4.16062
9.19306,4.81743,2.16084,1.61664,3.24057,1.70648,14.8152,6.17206,5.20238,2.67564,-7.05228,7.30725,12.0011,4.58122,-0.719578,2.83231,-14.296,8.65504,6.66878,2.60577,-3.34151,2.73572,-3.9828,4.16846
9.24295,4.81902,1.76599,1.56297,3.05175,1.73412,13.6028,6.15421,4.89343,2.59511,-7.00893,7.29467,11.2709,4.44912,-0.648048,2.79844,-14.4816,8.63828,6.95289,2.5783,-3.46353,2.73505,-4.00659,4.176
9.28658,4.81743,1.38239,1.50866,2.84148,1.77679,12.4044,6.13891,4.58797,2.51271,-6.95294,7.27108,10.562,4.32841,-0.572714,2.76863,-14.668,8.63293,7.23938,2.55506,-3.58421,2.73578,-4.03372,4.18303
9.32555,4.81294,1.01521,1.45541,2.61413,1.83174,11.223,6.12769,4.29086,2.4301,-6.87544,7.24389,9.8791,4.22257,-0.493151,2.74289,-14.8607,8.63858,7.53333,2.53707,-3.70222,2.74199,-4.06376,4.18933
9.36272,4.80627,0.669186,1.40532,2.37372,1.8959,10.061,6.12118,4.00628,2.34868,-6.77147,7.22142,9.22446,4.13323,-0.409192,2.7211,-15.0616,8.65301,7.83825,2.52493,-3.81601,2.756,-4.09628,4.19468
9.40137,4.79816,0.348493,1.36053,2.12317,1.96596,8.91997,6.11932,3.73802,2.26947,-6.63994,7.20949,8.5989,4.06058,-0.321263,2.70285,-15.2697,8.67336,8.1561,2.51898,-3.92422,2.77815,-4.13093,4.19909
9.44494,4.7893,0.0572395,1.32274,1.86431,2.03898,7.80186,6.12151,3.49016,2.1934,-6.48248,7.21104,8.00298,4.00348,-0.230802,2.68766,-15.4828,8.69641,8.48788,2.51862,-4.02595,2.80711,-4.16723,4.20264
9.49621,4.78028,-0.201548,1.29316,1.59782,2.11349,6.70792,6.12682,3.2662,2.12135,-6.30365,7.2252,7.43724,3.96014,-0.139965,2.67492,-15.6978,8.71867,8.83381,2.52328,-4.12112,2.84041,-4.20439,4.20551
9.55737,4.77149,-0.425539,1.27247,1.32316,2.18858,5.63976,6.13447,3.06927,2.0542,-6.10987,7.24838,6.90365,3.92867,-0.0515424,2.664,-15.9103,8.7369,9.19417,2.53218,-4.21029,2.87526,-4.24156,4.20801
9.62994,4.76302,-0.612787,1.26052,1.03899,2.26406,4.59957,6.14389,2.90215,1.99277,-5.90775,7.27555,6.4067,3.90749,0.0314237,2.65425,-16.1152,8.74904,9.57021,2.54507,-4.29417,2.90937,-4.27801,4.21054
9.71415,4.75506,-0.76308,1.25599,0.743552,2.34032,3.58875,6.15546,2.7657,1.93781,-5.70414,7.30174,5.9515,3.89566,0.106287,2.64523,-16.306,8.75444,9.963,2.5623,-4.37369,2.94131,-4.31325,4.21356
9.80939,4.74799,-0.876565,1.25648,0.43463,2.41769,2.60895,6.1703,2.65976,1.89007,-5.50569,7.32316,5.54549,3.89257,0.170811,2.63667,-16.4755,8.75379,10.3739,2.58491,-4.44959,2.97047,-4.34691,4.2176
9.9137,4.74236,-0.954903,1.26052,0.110479,2.49646,1.66098,6.1897,2.5821,1.85044,-5.3184,7.33775,5.19707,3.89797,0.223537,2.62823,-16.6152,8.74923,10.8041,2.61475,-4.52219,2.99683,-4.37859,4.2232
10.0244,4.73883,-1.00063,1.2665,-0.229902,2.57638,0.745586,6.2149,2.52913,1.81958,-5.14741,7.34553,4.91595,3.91144,0.263275,2.61964,-16.7167,8.7432,11.2539,2.65355,-4.59142,3.0207,-4.40724,4.23068
10.1385,4.73829,-1.0173,1.2734,-0.586117,2.65617,-0.136507,6.24697,2.49588,1.79809,-4.99739,7.34801,4.71253,3.93227,0.288876,2.61059,-16.771,8.73778,11.7224,2.70234,-4.65673,3.04255,-4.43099,4.24032
10.2526,4.74163,-1.00952,1.28093,-0.956093,2.73389,-0.984615,6.28594,2.47622,1.7866,-4.87245,7.34794,4.5974,3.95871,0.298934,2.60097,-16.7706,8.73439,12.2078,2.76084,-4.71729,3.06284,-4.44688,4.2523
10.363,4.74964,-0.983127,1.28936,-1.33598,2.80689,-1.79779,6.33101,2.4629,1.78555,-4.77532,7.34818,4.58205,3.98885,0.291252,2.59093,-16.709,8.73386,12.7065,2.82792,-4.77199,3.08204,-4.45074,4.26677
10.4661,4.76239,-0.945515,1.29953,-1.72058,2.87283,-2.57596,6.38025,2.44754,1.79479,-4.70599,7.35067,4.67461,4.02131,0.263743,2.58112,-16.5842,8.73701,13.2133,2.90239,-4.81994,3.10087,-4.43802,4.28372
